feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
AR		Amplification	
ARID1A	Missense p.S1534N		
ARID1B			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCL10			
BCR			
BRCA2			
CASP8			
CCND1			
CCND3			
CDKN2A			
CHEK1			
COL1A1			
DIS3			
DNMT3B			
EML4			
EP300			
EPCAM			
EPHA3			
EPHB1		Amplification	EPHB1, EPHB1
ERBB2			
ERBB3			
ERBB4			
ERG			ERG
ESR1			
EZH2			
FAT1			
FGFR4			
FLT3			
FOXA1			
FOXL2		Amplification	
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
IRS2			
KDR			
KMT2C			
KNSTRN			
MAP3K1			
MGA			
MLH1			
MLH3			
MPL			
NCOA3			
NOTCH2			
PAX5			
PDGFRA			
PGR			
PIK3CB		Amplification	
PIK3R1		Deletion	
PIK3R2			
PMS2			
POLD1			
POLE			
PTEN		Deletion	
PTPRD			
PTPRS			
PTPRT			
RAD50			
RAD51D			
RET			
RICTOR			
RNF43			
RPTOR			
SMO			
TCF7L2			
TET1			
TMPRSS2			TMPRSS2
TNFRSF14			
TP53	Missense p.R273L		
TSC1			
