feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR			
ARAF		Amplification	
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCL6			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CD274			
CDH1			
CHEK1			
COL1A1			
CTCF			
CTLA4			
DIS3			
DNMT3B			
EML4			
EP300			
EPCAM			
EPHA3			
ERBB2			
ERBB3			
ERCC2			
FAT1			
FGFR4			
FLT3			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
KDM6A		Amplification	
KMT2C			
MAP3K1			
MC1R			
MGA			
MLH1			
MLH3			
MSH6			
MTOR	Missense p.R1482H		
NCOA3			
NOTCH2			
NTRK1			
PAK7			
PARP1			
PDGFRA			
PIK3R2			
PMS2			
POLE			
PTEN	Frameshift p.VL317fs		
PTPRD	Missense p.E548K		
PTPRS			
PTPRT			
RB1			
RBM10		Amplification	
RET			
RICTOR			
RNF43			
SETBP1			
SETD2			
SMARCA4			
SMO		Amplification	
TACC3			
TET1			
TNFRSF14			
TP53			
TRAF7			
