feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR			
ASXL1			
ASXL2			
ATM			
AURKA			
AURKB			
AXIN1			
AXL			
BCR			
BRCA2			
BRD4			
BRIP1			
CCND1			
CCND3			
CDKN1A			
CDKN1B			
CHEK1			
COL1A1			
DIS3			
EGFR			
EML4			
EPHA3			
ERBB2			
ERCC2			
ESR1			
FAT1			
FGFR4			
FLT3			
FOXA1	Missense p.S395C		
GLI1			
GNAS			
HGF			
HLA-A			
HLA-B			
HNF1A			
IL7R			
IRS2			
KDR			
KIT			
KMT2A			
KMT2C			
MAP3K1			
MGA			
MLH1			
MLH3			
MPL			
MSH2			
NCOA3			
PARP1			
PDGFRA			
PGR			
PIK3CD			
PIK3R2			
PMS2			
POLD1			
POLE			
PTEN		Deletion	
PTPRS			
RICTOR			
RNF43			
RPS6KA4			
SETD2			
SMO			
TACC3			
TCF3			
TET1			
TET2			
TNFRSF14			
TP53	Missense p.R181H		
