feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CDKN1B			
CHEK1			
COL1A1			
CTLA4			
DIS3			
DNMT3A			
DNMT3B			
EGFR			
EML4			
EP300			
EPCAM			
EPHA3			
ERBB2			
ERCC2			
FAT1			
FGFR4			
FOXA1	Deletion p.408_409SS>S, Frameshift p.P375fs		
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
INPPL1			
IRS2			
JAK2			
KMT2A			
KMT2C			
KMT2D			
KNSTRN			
MAP3K1			
MC1R			
MGA			
MLH3			
MSH2			
NCOA3			
NFE2L2			
NOTCH2			
NSD1			
PDGFRA			
PIK3R2			
PMS2			
PRDM14			
PTPRD	Missense p.R139C		
PTPRS			
RICTOR			
RNF43			
ROS1			
RPS6KA4			
SETD2			
SF3B1			
TACC3			
TET1			
TMPRSS2		Deletion	
TNFRSF14			
TP53			
