feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC	Frameshift p.G1944fs		
AR	Missense p.T878A		
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BLM			
BRCA2			
BRIP1			
CCND1			
CCND3			
CDKN1B			
CHEK1			
COL1A1			
CUL3			
DIS3			
DNMT3B			
EML4			
EPHA3			
ERBB2			
ERBB3			
ERCC2			
FAT1			
FLT3			
FOXA1			
GLI1			
HGF			
HLA-A			
HLA-B			
HNF1A			
IL7R			
JAK1			
KMT2C			
MAP3K1			
MC1R			
MGA			
MLH1			
MLH3			
MTOR			
NCOA3			
NFE2L2			
NOTCH2			
PALB2			
PIK3CA			
PIK3R1			
PIK3R2			
PMS2			
POLD1			
PTEN		Deletion	
PTPRD			
PTPRS			
RAD51B			
RET			
RICTOR			
RNF43			
ROS1			
RPS6KA4			
SETBP1			
TACC3			
TET1			
TET2			
TMPRSS2			TMPRSS2
