feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCL10		Deletion	
BCOR		Amplification	
BCR			
BRCA2			
BRIP1			
CASP8			
CCND1			
CDKN2A		Deletion	
CHEK1		Deletion	
COL1A1			
CREBBP			
CTLA4			
DIS3			
DNMT3B			
EIF1AX		Amplification	
EML4			
EPCAM			
ERBB2			
ERBB3			
ERCC2			
FAT1	Missense p.N1330S		
FGFR2		Deletion	
FGFR4			
FLT3			
FOXA1		Amplification	
FOXL2			
FUBP1		Deletion	
GATA2			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IDH1			
IL7R			
IRS2			
JAK2			
KDM6A		Amplification	
KDR			
KMT2C			
KNSTRN			
LIMK2			
MAP3K1			
MC1R			
MGA			
MLH1			
MLH3			
MPL			
MSH2			
NCOA3			
NOTCH2			
NTRK1			
NTRK3		Deletion	
PDGFRA			
PIK3CA			
PIK3R2			
PMS2			
POLE			
POT1		Amplification	
PTPRD			
PTPRS			
PTPRT			
RAD51B		Amplification	
RAF1	Missense p.P63L		
RBM10		Amplification	
RHEB		Amplification	
RNF43			
ROS1			
RPS6KA4			
SETBP1			
SETD2			
STAG2		Amplification	
STK19		Deletion	
TACC3			
TCF3			
TET1			
TNFRSF14			
TP53			
TSC1			
ZRSR2		Amplification	
