feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CCND3			
CDKN1A			
CHEK1			
COL1A1			
CRLF2		Amplification	
CTLA4			
DIS3			
EGFR			
EML4			
EP300			
EPCAM			
EPHA3			
ERBB2			
ERBB3	Missense p.R929W		
ERCC2			
ERG			ERG
FAT1			
FGFR4			
FLT3			
FOXA1			
GATA2			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL12RB1			
IL7R			
KMT2C			
MAP3K1			
MAP3K13			
MC1R			
MGA			
MLH1			
MLH3			
MSH2			
MYOD1		Amplification	
NCOA3			
NOTCH1			
NOTCH2			
PAK7			
PGR			
PIK3R2			
PMS2			
PTPRS			
PTPRT			
RICTOR			
RNF43			
RPS6KA4			
SETBP1			
SETD2			
SMAD2		Deletion	
SMAD4		Deletion	
TACC3			
TET1			
TET2			
TGFBR1	Splice Site 		
TMPRSS2			TMPRSS2
TNFRSF14			
TP53		Deletion	
