feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	
ARID1A			
ASXL1			
ATM			
AURKA			
AURKB			
AXIN1			
AXL			
BCR			
BLM			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CDKN1B			
CHEK1			
COL1A1			
CTLA4			
EGFR			
EML4			
EP300			
EPHA3			
ERBB2			
ERCC2			
FAT1			
FGFR4			
FLT3			
FOXA1			
GATA2			
GLI1			
GNAS			
HLA-A			
HLA-B			
HNF1A			
IL7R			
IRS2			
KDR			
KMT2C			
MAP3K1			
MC1R			
MGA			
MLH3			
MSH2			
MSH6			
NCOA3			
NSD1			
PGR			
PIK3R2			
PMS2			
PTEN	Missense p.F241S		
PTPRD			
PTPRS			
RAD51B			
RAD51D			
RET			
RICTOR			
RNF43			
ROS1			
RPS6KA4			
SESN2			
SETBP1			
SETD2			
SMAD3			
TET1			
TET2			
TMPRSS2			
TNFRSF14			
TP53	Missense p.Y220C		
TSC2			
