feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR			
ASXL1			
ATM			
ATRX			
AURKA			
AURKB			
AXL			
BARD1			
BCL6			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CCND3			
CHEK1			
COL1A1			
CREBBP			
DIS3			
EML4			
EP300			
EPCAM			
ERBB2			
ERCC2			
ERG			ERG
FAT1			
FGFR4			
FLT3			
FOXA1			
GLI1			
GNAS			
HGF			
HIST1H1C			
HLA-A			
HLA-B			
HNF1A			
IL7R			
KDR			
KMT2C			
KMT2D	Missense p.S2373F		
KNSTRN			
MAP3K1			
MC1R			
MGA			
MLH1			
MLH3			
MSH2			
MYC			
NOTCH1			
NOTCH2			
NSD1			
NTRK1			
PAK7			
PARP1			
PDGFRA			
PIK3R2			
PMS2			
POLD1			
POLE			
PRDM14			
PTPRD			
PTPRS			
PTPRT			
RAD51B			
RAD51D			
RICTOR			
RNF43			
ROS1			
RPTOR			
SETBP1			
SETD2			
TACC3			
TCF3			
TET1			
TMPRSS2			TMPRSS2
TP53			
