feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	
ARID1B			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1		Amplification	
CHEK1			
COL1A1			
CTLA4			
CYSLTR2		Deletion	
DIS3		Deletion	
EGFR			
EML4			
EP300			
EPAS1			
EPCAM			
EPHA3			
ERBB2			
ERCC2			
ERG			ERG, ERG
EZH2			
FAT1			
FGFR4			
FLT3			
FOXA1			
FOXO1		Deletion	
FOXP1			
GATA2			
H3F3A			
HLA-A			
HLA-B			
HNF1A			
IL12RB1			
IL7R			
JUN		Deletion	
KMT2C			
KNSTRN			
LIMK2			
MAP3K1			
MC1R			
MLH3			
MSH2			
MSH6			
NCOA3			
NOTCH2			
PDGFRA			
PGR	Missense p.A120V		
PIK3R1			
PIK3R2			
PMS2			
PTEN		Deletion	
PTPRS			
PTPRT			
RB1		Deletion	
RICTOR			
RNF43			
ROS1			
RPS6KA4			
SDHA			
SETBP1			
SETD2			
SOX17	Missense p.V118M		
STAT3	Splice Site 		
TACC3			
TET1			
TMPRSS2			TMPRSS2
TP53			
