feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	
ARID1B			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCL6			
BCR			
BRCA1			
BRCA2			
BRD4			
BRIP1			
CCND1			
CCND3			
CDKN1B			
CHEK1			
COL1A1			
CTLA4			
DIS3			
DNMT3B			
EML4			
EP300			
ERBB2			
ERBB3			
ERCC2			
ERG			ERG
EZH2			
FAT1			
FGFR4			
FOXA1			
GATA2			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IDH1			
IL12RB1			
IL7R			
IRS2			
KMT2C			
MAP3K1			
MGA			
MLH1			
MLH3			
MSH2			
MSH6			
NCOA3			
NOTCH2			
NSD1			
PDGFRA			
PIK3CA			
PIK3R1			
PIK3R2			
PMS2			
POLD1			
PRKCI			
PTPRS			
RAD51B			
RAD51D			
RICTOR			
RNF43			
ROS1			
RPS6KA4			
RPTOR			
SETBP1			
SETD2			
TACC3			
TET1			
TET2			
TMPRSS2			TMPRSS2
TNFRSF14			
TP53	Nonsense p.R213*		
