feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCL6			
BCR			
BRCA2			
BRIP1			
CARD11	Missense p.R436Q		
CASP8			
CCND1			
CHEK1			
COL1A1			
CREBBP			
DIS3			
DNMT1			
EGFR			
EML4			
EPCAM			
ERBB2			
ERG			ERG
FAT1			
FGFR4			
FLT3			
FOXA1			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL12RB1			
IL7R			
INPPL1			
IRS2			
KDR			
KIT			
KMT2C			
LIMK2			
MAP3K1			
MGA			
MLH3			
MSH2			
NCOA3			
NOTCH1			
NOTCH2			
NUP93			
PARP1			
PDGFRB			
PIK3R2			
PMS2			
POLD1			
PTPRS			
PTPRT			
RAD51C			
RB1			
RICTOR			
RNF43			
ROS1			
RPS6KA4			
SDHA			
SETBP1			
SETD2			
SLC45A3			SLC45A3
SOX17			
STK19			
TACC3			
TET1			
TNFRSF14			
TP53			
TSC2			
