feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR			
ASXL1			
ATM			
ATRX			
AURKA			
AXL			
BARD1			
BCL6			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CCND3			
CDKN1A			
CDKN1B			
CHEK1			
COL1A1			
DIS3			
DNMT3B			
EGFR			
EML4			
EPAS1			
EPCAM			
EPHA3			
ERCC2			
ESR1			
FAT1			
FGFR2			
FGFR3			
FGFR4			
FLT3			
FOXA1			
FUBP1			
GLI1			
GSK3B			
HLA-A			
HLA-B			
HNF1A			
IL7R			
IRF4			
KDR			
KIT			
KMT2C			
KMT2D			
MGA			
MLH3			
MSH2			
NCOA3			
NOTCH2			
NTRK1			
PAK7			
PDGFRA			
PDGFRB			
PIK3R1			
PIK3R2			
PMS2			
POLD1			
PRDM14			
PREX2			
PTPRS			
RAD51B			
RECQL4			
RHOA			RHOA
RICTOR			
RIT1			
RNF43			
ROS1			
RPS6KA4			
SDHA			
SETD2			
STK19			
TBX3			
TET1			
TET2			
TMPRSS2			
TNFRSF14			
TP53	Missense p.A159D		
TSC1			
