feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	
ASXL1			
ATM			
ATRX			ATRX
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BLM			
BRCA2			
BRIP1			
CCND1			
CCND3			
CHEK1			
COL1A1			
DIS3			
DNMT3B			
EGFR			
EML4			
EP300			
EPCAM			
EPHA3			
EPHA7			
ERBB2			
ERCC2			
ERG			ERG
FAT1			
FGFR4			
FOXA1			
GATA2			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IDH1			
IGF1R			
IL12RB1			
IL7R			
KIT			
KMT2C			
KMT2D			
MAP3K1			
MC1R			
MGA		Deletion	
MLH1			
MLH3			
MSH2			
NCOA3			
NOTCH2			
NSD1	Missense p.R1952W		
PAK7			
PIK3R1			
PIK3R2			
PMS2			
POLE			
PTEN		Deletion	
PTPRS			
PTPRT			
RAD51B			
RICTOR			
RNF43			
ROS1			
RPS6KA4			
SETBP1			
SETD2			
TACC3			
TET1			
TET2			
TMPRSS2			TMPRSS2
TNFRSF14			
TP53		Deletion	
TSC1			
