feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11		Deletion	
APC			
AR			
ARID1B			
ASXL1			
ATM			
AURKA			
AURKB			
AXIN1			
AXL			
BARD1			
BCL6			
BCR			
BRCA1			
BRCA2		Deletion	
BRIP1			
CHEK1			
COL1A1			
CTLA4			
CYSLTR2		Deletion	
DNMT3B			
EML4			
EPCAM			
ERBB2			
ERCC2			
ESRP1		Amplification	
FAT1			
FGFR4			
FLT3			
FOXA1			
FOXO1		Deletion	
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
IRS2			
KDM6A			
KDR			
KMT2C		Deletion	
KMT2D			
MAP3K1			
MC1R		Deletion	
MET			
MGA			
MLH1			
MLH3			
MSH2			
NCOA3			
NOTCH1			
NOTCH2			
PAK7			
PALB2			
PDGFRA			
PIK3R1			
PIK3R2			
PMS2			
PPP4R2			
PRDM14		Amplification	
PREX2		Amplification	
PRPF8			
PTPRD			
PTPRS			
RB1		Deletion	
RECQL4		Amplification	
RHEB		Deletion	
RNF43			
ROS1		Deletion	
RPS6KA4			
RPTOR			
RUNX1T1		Amplification	
SETBP1			
SETD2			
STK11			
TACC3			
TCEB1		Amplification	
TET1			
TMPRSS2			
TNFRSF14			
TP53		Deletion	
TSC1			
XPO1	Missense p.H704L		
ZRSR2	Missense p.Q56H		
