feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BCR			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CCND3			
CDK12			
CHEK1			
COL1A1			
CTLA4			
DIS3			
DNMT3B			
EGFR			
EML4			
EP300			
EPCAM			
ERBB2			
ERCC2			
ERG			ERG
ERRFI1			
FAT1			
FGFR3			
FGFR4			
FLT3			
FOXA1			
HLA-A			
HLA-B			
HNF1A			
IL12RB1			
IRS2			
KMT2C			
KMT2D			
KNSTRN			
LIMK2			
MAP3K1			
MC1R			
MGA			
MLH3			
MPL			
MSH2			
PAK7			
PALB2			
PIK3R2			
PMS2			
POLE			
PTEN		Deletion	
PTPRD			
PTPRS			
PTPRT			
RAD51B			
RAD51D			
RET			
RICTOR			
RNF43			
ROS1			
SETBP1			
SETD2			
SMO			
TACC3			
TET1			
TET2			
TMPRSS2			TMPRSS2
TP53	Nonsense p.K139*		
